frase_id,modelo,padrao,frase,baseline_masculino,baseline_feminino,score_severidade,n_modelos_amplificam,n_bilateral,n_unilateral,forca_maioria_masc,forca_maioria_fem,forca_maioria_combinada
400,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.",-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
452,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Eu queria ter ido pra quadra mas a professora queria que a gente ficasse na sala de vídeo e ver o fi,-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
672,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Eu insisti e eu mesma fui comprar a camisinha na farmácia.,-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
712,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.",-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
880,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","O caso é não fica atrás dele, sei que é difícil não demonstrar o que sente, mas pode ter certeza, el",-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
919,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.,-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
1097,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Declarações de amizade e dos desenhos doidos no caderno de escola.,-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
1200,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,-1.0,-1.0,8,4,4,0,1.0,1.0,1.0
126,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Me imagino pensando em filhos, afinal tenho um sonho: adotar.",1.0,1.0,8,4,4,0,0.75,1.0,0.875
302,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Minhas amigas descobriram por que me pegaram a força e tiraram meu casaco pra ver o que eu tanto esc,1.0,1.0,8,4,4,0,1.0,0.75,0.875
