"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, era muito triste."	"negativa"	"2.222"
"bc2584302fffead698e1809107a60040"	"m"	"A aula de português estava chata."	"negativa"	"4.407"
"bc2584302fffead698e1809107a60040"	"m"	"Depositamos tanta confiança e tanto sentimento nas pessoas."	"negativa"	"1.703"
"bc2584302fffead698e1809107a60040"	"m"	"Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo."	"neutra"	"2.264"
"bc2584302fffead698e1809107a60040"	"m"	"Meu marido em 10 anos não consegue colocar nada pra dentro de casa as contas estão atrasadas a geladeira vazia, ele é preguiçoso!"	"neutra"	"8.239"
"bc2584302fffead698e1809107a60040"	"m"	"Hoje me senti muito só e ao invés de chorar, como sempre, me automutilei."	"negativa"	"4.152"
"bc2584302fffead698e1809107a60040"	"m"	"Quando eu tinha três anos fui morar na casa de uma tia, pois minha mãe não tinha condição de me criar."	"negativa"	"2.395"
"bc2584302fffead698e1809107a60040"	"m"	"Me prendo a memórias por que muitas delas não voltam, muitas pessoas mudaram, mas as memórias não."	"negativa"	"2.495"
"bc2584302fffead698e1809107a60040"	"m"	"O pior e quando nos apegamos aquela pessoa e ela vai embora, sem saber que a que ficou esta cada vez, mas apaixonada, que não consegue imaginar sua vida sem ela, e falamos a vida segue, mas uma parte nossa ela leva com as pessoas que passam."	"neutra"	"3.752"
"bc2584302fffead698e1809107a60040"	"m"	"Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar interesse por outras, considero falta de respeito."	"negativa"	"8.798"
"bc2584302fffead698e1809107a60040"	"m"	"Ele me confidencia que você foi a boca que ele mais gostou de beijar."	"negativa"	"4.087"
"bc2584302fffead698e1809107a60040"	"m"	"Ontem a noite quando eu cheguei do curso e ia jantar eu senti uma dor daquelas que sempre sinto na perna minha perna paralisou a Fernanda me levou para a sala meu pai estava jantando, quando fui para a sala comecei a me tremer e a sentir uma tontura e um zunido no ouvido seguido de uma dormência nas mãos."	"positiva"	"2.160"
"bc2584302fffead698e1809107a60040"	"m"	"Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos acabou assim."	"negativa"	"8.192"
"bc2584302fffead698e1809107a60040"	"m"	"E quando eu acordo, não passo o dia feito lesa."	"negativa"	"4.549"
"bc2584302fffead698e1809107a60040"	"m"	"Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim."	"positiva"	"2.769"
"bc2584302fffead698e1809107a60040"	"m"	"Fechei a porta, a Helen me olhava assustada, não disse nada só me direcionei para o banheiro, liguei o chuveiro, entrei com roupa e tudo, as lagrimas se misturavam com a água do chuveiro, a porta se abre."	"negativa"	"4.622"
"bc2584302fffead698e1809107a60040"	"m"	"No armário sobrou uma coisa e não sei se é sua."	"negativa"	"5.152"
"bc2584302fffead698e1809107a60040"	"m"	"Fico pensando , como vai ser quando eu começar a fazer faculdade , me casar , ter filhos."	"neutra"	"3.825"
"bc2584302fffead698e1809107a60040"	"m"	"E meu namorado estava de bermuda jeans, uma polo, e um tênis da oakley que o pé esquerdo esta sem cadarço, todo rasgado, sujo."	"neutra"	"2.935"
"bc2584302fffead698e1809107a60040"	"m"	"Ele meio que sugeriu que tenho personalidade borderline e espectro bipolar ( ciclotimia) enfim, nada que eu já não desconfiasse."	"neutra"	"6.829"
"bc2584302fffead698e1809107a60040"	"m"	"A minha mãe disse que estou muito rebelde!"	"negativa"	"5.503"
"bc2584302fffead698e1809107a60040"	"m"	"Que dor imensa é essa saudade, todos os dias quando acordo pego o telefone querendo ligar pra saber como a senhora está, acho que ainda não consegui discernir tudo isso."	"neutra"	"2.672"
"bc2584302fffead698e1809107a60040"	"m"	"Aí ela veio dizendo que estava horrível, que eu não sabia fazer nada direito, que meu curso não vale de nada e que as outras pessoas fazem melhor que eu."	"negativa"	"4.352"
"bc2584302fffead698e1809107a60040"	"m"	"Não vou falar da tragédia de Santa Maria, pois só em pensar me da vontade de chorar, bom vou terminar agora, depois da escola eu venho contar mais!"	"negativa"	"2.990"
"bc2584302fffead698e1809107a60040"	"m"	"Preciso de bons curativos, que não sejam eternos, afinal nada é para sempre, mas, que não sejam descartáveis."	"negativa"	"3.328"
"bc2584302fffead698e1809107a60040"	"m"	"É muito bom ter uma pessoa que você ama ao lado."	"neutra"	"4.280"
"bc2584302fffead698e1809107a60040"	"m"	"Quanto aos sintomas do TOC, continuam bem chatinhos."	"positiva"	"1.527"
"bc2584302fffead698e1809107a60040"	"m"	"Mas eu ainda estava em êxtase."	"negativa"	"3.608"
"bc2584302fffead698e1809107a60040"	"m"	"Tava cheio hoje e isso é um saco, demora mais."	"positiva"	"2.079"
"bc2584302fffead698e1809107a60040"	"m"	"Tudo começou assim, fui visitar uma amiga minha que me ligou mais cedo dizendo que queria me ver, porém, ao chegar na frente da casa dela vi que estava tudo fechado, ou seja ou ela não estava em casa ou já estava dormindo."	"negativa"	"5.974"
"bc2584302fffead698e1809107a60040"	"m"	"Sou muito alta e magra, não tenho corpo, e sofro por causa disso."	"negativa"	"5.520"
"bc2584302fffead698e1809107a60040"	"m"	"Saímos e fomos no horario de trabalho para um motel chamado Beira Rio, proxímo de nosso trabalho."	"negativa"	"1.599"
"bc2584302fffead698e1809107a60040"	"m"	"E me lembro também, como você conseguia aplacar a minha dor."	"positiva"	"4.568"
"bc2584302fffead698e1809107a60040"	"m"	"E eu sou uma pessoa que não percebo quando alguém tem interesses por mim, só que nesse caso eu tô desconfiada disso."	"positiva"	"3.288"
