modelo,fold,frase_id,frase,real_masculino,real_feminino,pred_masculino,pred_feminino,concordancia_real,concordancia_pred
SVM,1,4,Eles brigaram e ela terminou com ele.,-1,-1,1,1,1,1
SVM,1,6,"Depois de uma hora consegui, peguei meu buzão e um engarrafamento horrível.",-1,-1,1,1,1,1
SVM,1,15,"Quando ela te encher a paciência, não brigue, ela só gosta de te ver um pouco irritado, por que sabe",1,1,1,1,1,1
SVM,1,18,"Você sempre será aquela menininha de cabelos loiros e um sorriso no rosto mais lindo do universo, eu",-1,-1,1,1,1,1
SVM,1,24,"Os que desprezam os pequenos acontecimentos nunca farão grandes descobertas, pequenos momentos mudam",1,1,1,1,1,1
SVM,1,33,"Poste frases de garota desapegada,que não precisa de homem nenhum pra ser feliz.",0,0,1,-1,1,0
SVM,1,36,"Fico com inveja dos meus amigos que resolvem tudo sozinhos, sabem ir pra todos os lugares, e numa bo",1,1,1,0,1,0
SVM,1,38,"Hoje estou muito chateada, eu acho que eu estou sendo traída meu marido está me tratando diferente c",-1,-1,1,-1,1,0
SVM,1,40,"Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando se",-1,-1,-1,-1,1,1
SVM,1,43,Acordei na ilusão de ir ao uma festa e beber como toda adolescente de 17 anos.,-1,-1,-1,-1,1,1
SVM,1,49,"Hoje eu fui na biblioteca da escola, na hora da aula de Educação Física, e peguei um livro.",-1,-1,-1,-1,1,1
SVM,1,59,Eu amo sua sinceridade e inocência.,-1,-1,1,1,1,1
SVM,1,61,"Quantas pessoas realmente valem a pena conhecer, e são suas amigas de verdade?",-1,-1,-1,-1,1,1
SVM,1,63,"Eu sou virgem, ou pelo menos nunca tive penetração.",0,0,-1,0,1,0
SVM,1,66,Essa pessoa que postou isso tem 56 ANOS e ERA CASADA NA ÉPOCA COM UM CARA DE 24 ANOS.,1,1,1,1,1,1
SVM,1,67,E NÃO É A PRIMEIRA VEZ QUE ELE TENTA ALGO... NÃO QUERO ENTRAR EM DETALHES,1,1,1,1,1,1
SVM,1,72,"Quando tento alertar as pessaoas mais proximas elas dizem que a tu es magra deves engordar e tal, ma",-1,-1,1,1,1,1
