texto,rotulo_masculino,rotulo_feminino
word477 word376 word204 word243 word367 word424 word332 word500 word326 word252 word394 word322 word376 word493 word409 word199 word488 word343 word240 word139 word122 word420 word49 word304 word115 word343 word251 word491 word7 word219 word77 word179 word145 word416 word154 word121 word124 word150 word397 word381 word268 word327 word1 word161,neutra,neutra
word295 word122 word159 word178 word144 word328 word368 word307 word399 word89 word239 word38 word361 word79 word345 word327 word346 word252 word328 word466 word149 word16 word367 word323 word321 word269 word118 word192 word317 word288 word396 word351 word297 word194 word489 word392 word443 word281 word389 word301 word386 word426 word250 word422 word231 word3 word174 word240 word486 word406 word104 word289 word244 word288 word367 word273 word120 word338 word440 word259 word70 word433 word183 word461 word247 word118 word31 word465 word149 word16 word273 word352 word385 word368 word102 word72 word193 word322 word111 word293 word408 word347 word340 word367 word318 word277 word106 word37 word291 word422,positiva,positiva
word461 word208 word280 word205 word152 word438 word26 word194 word336 word422 word238 word321 word497 word75 word435 word163 word299 word29 word165 word337 word186 word54 word295 word42 word412 word285 word427 word387 word500 word138 word187 word490 word398 word204 word431 word42 word350 word416 word288 word426 word416 word26 word371 word385 word56 word253 word122 word106 word130 word337 word158 word376 word231 word455 word308 word91 word393 word22 word290 word110 word49 word129 word73 word340 word53 word467 word356 word380 word168 word45 word452 word393 word105 word150,negativa,negativa
word32 word336 word51 word79 word186 word174 word436 word106 word63 word76 word316 word321 word373 word81 word361 word128 word183 word243 word185 word498 word220 word71 word457 word342 word154 word245 word140 word71 word46 word47 word79 word422 word149 word398 word130 word456 word127 word365 word119 word454 word485 word357 word417 word489 word262 word244 word474 word382 word103 word489 word37 word142 word37 word8 word231 word333 word397 word296 word107 word348 word442 word18 word313 word83 word422 word288 word470 word194 word461 word215 word281 word220 word442 word459 word289 word344 word194 word158 word465 word104 word34 word102 word127,neutra,neutra
word264 word98 word134 word429 word365 word181 word222 word364 word482 word149 word244 word313 word76 word369 word262 word231 word191 word380 word134 word309 word252 word388 word245 word265 word325 word330 word367 word456 word343 word4 word442 word37 word71 word262 word237 word307 word490 word463 word355 word178 word96 word398 word227 word11 word266 word189 word209 word13 word377 word162 word60 word493 word435 word5 word496 word202 word416 word12 word436,positiva,positiva
word476 word164 word281 word7 word210 word253 word404 word133 word274 word106 word232 word33 word79 word35 word495 word110 word321 word63 word469 word328 word455 word297 word178 word384 word364 word232 word104 word414 word294 word35 word194 word174 word392 word102 word324 word293 word85 word397 word201 word173 word29 word297,positiva,positiva
word5 word269 word339 word221 word194 word421 word346 word413 word69 word288 word358 word176 word386 word325 word239 word481 word179 word256 word419 word211 word399 word227 word72 word367 word65 word166 word214 word17 word336 word173 word129 word3 word383 word384 word248 word70 word52 word437 word378 word259 word239 word94 word47 word75 word91 word86 word6 word230 word489 word430 word351 word317 word43 word312 word198 word370 word404 word303 word182 word169 word203 word194 word31 word102 word64 word346 word91 word442 word250 word183 word302 word366 word351 word280 word205 word89,negativa,neutra
word258 word217 word479 word114 word370 word461 word380 word146 word465 word237 word476 word460 word419 word86 word167 word129 word165 word277 word257 word132 word480 word58 word257 word141 word174 word175 word209 word204 word7 word51 word259 word178 word410 word31 word356 word318 word154 word451 word364 word55 word156 word44 word81 word166 word495 word30 word322 word136 word14 word357 word483 word106 word359 word318 word75 word447 word79 word194 word485 word363 word96 word40 word256 word397 word107 word17 word15 word417 word499 word272 word499,neutra,neutra
word126 word393 word250 word287 word334 word477 word53 word368 word43 word166 word42 word380 word456 word176 word67 word66 word400 word83 word350 word105 word400 word287 word374 word186 word284 word4 word138 word179 word237 word18 word303,neutra,neutra
word114 word24 word293 word462 word252 word267 word355 word209 word443 word55 word27 word492 word323 word444 word2 word68 word402 word148 word469 word319 word462 word328 word130 word474 word83 word42 word156 word157 word453 word107 word284 word188 word105 word112 word474 word133 word271 word110 word73 word416 word436 word346 word293 word143 word425 word260 word245 word437 word484 word340 word155 word149 word60 word86 word192 word327 word431 word182 word287 word273 word255 word434 word7 word126 word83 word28 word266 word283 word397,positiva,positiva
