frase_id,frase,n_modelos_total,modelo,baseline_masculino,baseline_feminino,pred_masculino,pred_feminino
1128,"Quando o telefone toca,já me acelera o coração",4.0,SVM,negativa,negativa,positiva,neutra
1128,"Quando o telefone toca,já me acelera o coração",4.0,NB,negativa,negativa,positiva,neutra
1128,"Quando o telefone toca,já me acelera o coração",4.0,RF,negativa,negativa,positiva,neutra
1128,"Quando o telefone toca,já me acelera o coração",4.0,LR,negativa,negativa,positiva,neutra
255,"Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tratar como um objeto e pra ele não tocar mais em mim.",4.0,SVM,negativa,negativa,positiva,neutra
255,"Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tratar como um objeto e pra ele não tocar mais em mim.",4.0,NB,negativa,negativa,positiva,neutra
255,"Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tratar como um objeto e pra ele não tocar mais em mim.",4.0,RF,negativa,negativa,positiva,neutra
255,"Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tratar como um objeto e pra ele não tocar mais em mim.",4.0,LR,negativa,negativa,positiva,neutra
26,"Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.",4.0,SVM,neutra,neutra,positiva,negativa
26,"Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.",4.0,NB,neutra,neutra,positiva,negativa
26,"Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.",4.0,RF,neutra,neutra,positiva,negativa
26,"Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.",4.0,LR,neutra,neutra,positiva,negativa
1196,"Chegando na casa dele, eu me senti confortável.",4.0,SVM,negativa,negativa,positiva,neutra
1196,"Chegando na casa dele, eu me senti confortável.",4.0,NB,negativa,negativa,positiva,neutra
1196,"Chegando na casa dele, eu me senti confortável.",4.0,RF,negativa,negativa,positiva,neutra
1196,"Chegando na casa dele, eu me senti confortável.",4.0,LR,negativa,negativa,positiva,neutra
401,"Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.",4.0,SVM,negativa,negativa,positiva,neutra
401,"Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.",4.0,NB,negativa,negativa,positiva,neutra
401,"Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.",4.0,RF,negativa,negativa,positiva,neutra
401,"Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.",4.0,LR,negativa,negativa,positiva,neutra
14,Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.,4.0,SVM,negativa,negativa,positiva,neutra
14,Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.,4.0,NB,negativa,negativa,positiva,neutra
14,Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.,4.0,RF,negativa,negativa,positiva,neutra
14,Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.,4.0,LR,negativa,negativa,positiva,neutra
722,"Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.",4.0,SVM,negativa,negativa,positiva,neutra
722,"Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.",4.0,NB,negativa,negativa,positiva,neutra
722,"Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.",4.0,RF,negativa,negativa,neutra,positiva
722,"Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.",4.0,LR,negativa,negativa,positiva,neutra
1213,Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,4.0,SVM,negativa,negativa,positiva,neutra
1213,Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,4.0,NB,negativa,negativa,positiva,neutra
1213,Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,4.0,RF,negativa,negativa,positiva,neutra
1213,Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.,4.0,LR,negativa,negativa,positiva,neutra
679,Eu insisti e eu mesma fui comprar a camisinha na farmácia.,4.0,SVM,negativa,negativa,positiva,neutra
679,Eu insisti e eu mesma fui comprar a camisinha na farmácia.,4.0,NB,negativa,negativa,positiva,neutra
679,Eu insisti e eu mesma fui comprar a camisinha na farmácia.,4.0,RF,negativa,negativa,positiva,neutra
679,Eu insisti e eu mesma fui comprar a camisinha na farmácia.,4.0,LR,negativa,negativa,positiva,neutra
30,"Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.",4.0,SVM,neutra,neutra,positiva,negativa
30,"Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.",4.0,NB,neutra,neutra,positiva,negativa
30,"Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.",4.0,RF,neutra,neutra,positiva,negativa
30,"Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.",4.0,LR,neutra,neutra,positiva,negativa
155,"Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro não está mais aí, que roubaram ele?.",4.0,SVM,negativa,negativa,positiva,neutra
155,"Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro não está mais aí, que roubaram ele?.",4.0,NB,negativa,negativa,positiva,neutra
155,"Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro não está mais aí, que roubaram ele?.",4.0,RF,negativa,negativa,positiva,neutra
155,"Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro não está mais aí, que roubaram ele?.",4.0,LR,negativa,negativa,positiva,neutra
931,Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.,4.0,SVM,negativa,negativa,positiva,neutra
931,Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.,4.0,NB,negativa,negativa,positiva,neutra
931,Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.,4.0,RF,negativa,negativa,positiva,neutra
931,Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.,4.0,LR,negativa,negativa,positiva,neutra
388,"E Minha vida nunca e nunca será algo que possa chama de vida, os meus amigos(colegas) parecem ter uma vida melhor que a minha, não quero mais ter que esconder que estou sofrendo.",4.0,SVM,negativa,negativa,positiva,neutra
388,"E Minha vida nunca e nunca será algo que possa chama de vida, os meus amigos(colegas) parecem ter uma vida melhor que a minha, não quero mais ter que esconder que estou sofrendo.",4.0,NB,negativa,negativa,positiva,neutra
388,"E Minha vida nunca e nunca será algo que possa chama de vida, os meus amigos(colegas) parecem ter uma vida melhor que a minha, não quero mais ter que esconder que estou sofrendo.",4.0,RF,negativa,negativa,positiva,negativa
388,"E Minha vida nunca e nunca será algo que possa chama de vida, os meus amigos(colegas) parecem ter uma vida melhor que a minha, não quero mais ter que esconder que estou sofrendo.",4.0,LR,negativa,negativa,positiva,neutra
1176,"Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.",4.0,SVM,positiva,positiva,negativa,neutra
1176,"Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.",4.0,NB,positiva,positiva,negativa,neutra
1176,"Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.",4.0,RF,positiva,positiva,positiva,neutra
1176,"Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.",4.0,LR,positiva,positiva,negativa,neutra
830,"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito.",4.0,SVM,negativa,negativa,positiva,neutra
830,"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito.",4.0,NB,negativa,negativa,positiva,negativa
830,"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito.",4.0,RF,negativa,negativa,positiva,neutra
830,"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito.",4.0,LR,negativa,negativa,positiva,neutra
1125,Ela se interessa por todos os seus assuntos sem pé e sem cabeça.,4.0,SVM,neutra,neutra,positiva,negativa
1125,Ela se interessa por todos os seus assuntos sem pé e sem cabeça.,4.0,NB,neutra,neutra,positiva,negativa
